source,id,title,year,dataset_role,open_data,language_annotation,language_evidence,modalities,data_supervision,task_families,concept_types,environments,dataset_evidence,open_evidence,warnings,summary_link,paper_link,project_link
Professor Survey,favla_force_adaptive_fast_slow_vla,FAVLA: A Force-Adaptive Fast-Slow VLA model for Contact-Rich Robotic Manipulation,2026,self-collected eval data,not open,none apparent,"none apparent: Language appears in the method/title/tags, but the dataset evidence does not show explicit language annotations.",vision; force; proprioception; language; point cloud / 3D,demonstrations / trajectories; simulation labels,insertion / assembly; contact-rich manipulation; policy learning / VLA; simulation / sim2real,none apparent,real robot; simulation,"Self-collected real-world demonstrations on four contact-rich tasks - USB Insertion, Gear Assembly (both millimeter-precision), Box Flipping, Board Wiping (both dynamic-contact). 80 teleoperated trajectories per high-precision task, 50 per contact-rich task, collected via 3D SpaceMouse, synchronized and downsampled to a uniform 30 Hz frame rate. No public benchmark is used.",No public benchmark is used.,"language modality/method signal, but no explicit dataset language annotation evidence",../source_materials/professor_survey_raw/knowledge/paper/favla_force_adaptive_fast_slow_vla.html,https://arxiv.org/abs/2602.23648,
Supplement,fmb-functional-manipulation-benchmark,FMB (Functional Manipulation Benchmark),2024,introduces benchmark,open / public,none apparent,"none apparent: Language appears in the method/title/tags, but the dataset evidence does not show explicit language annotations.",vision; force; proprioception; language; point cloud / 3D,demonstrations / trajectories,grasping / lifting; insertion / assembly; policy learning / VLA; simulation / sim2real,object state,real robot; offline perception,"FMB is a real-world robotic manipulation benchmark from UC Berkeley's RAIL lab for studying functional manipulation, where a Franka Panda arm composes skills (grasping, repositioning, assembly/insertion) using 3D-printed objects on assembly boards. It comprises 22,550 expert demonstration trajectories across single-object and multi-object multi-stage tasks, recorded from 2 global and 2 wrist Intel RealSense D405 cameras (RGB + depth) plus proprioception and end-effector force/torque. Raw data ships as .npy dictionaries with code to convert into RLDS for training imitation-learning baselines.",datasets.bot lists this as a public dataset with license CC-BY-4.0 and download URL https://functional-manipulation-benchmark.github.io/dataset/index.html.,"language modality/method signal, but no explicit dataset language annotation evidence",../source_materials/datasets_bot_raw/knowledge/paper/fmb-functional-manipulation-benchmark.html,https://arxiv.org/abs/2401.08553,https://functional-manipulation-benchmark.github.io/
Professor Survey,foar_force_aware_reactive_policy,FoAR: Force-Aware Reactive Policy for Contact-Rich Robotic Manipulation,2025,self-collected eval data,not open,none apparent,none apparent: No explicit language annotation is stated in the dataset/setup evidence.,vision; tactile; force; proprioception,demonstrations / trajectories,grasping / lifting; contact-rich manipulation; policy learning / VLA; simulation / sim2real,correction signal,real robot,"Self-collected real-world demos, no public benchmark. Three contact-rich tasks (Fig 3) in two categories - surface force control (Wiping, Wiping General, Peeling) and instantaneous force impact (Chopping). 50 teleoperated demos each for Wiping/Peeling, 40 for Chopping, collected via haptic teleoperation (RH20T-style [14]).","Self-collected real-world demos, no public benchmark.",,../source_materials/professor_survey_raw/knowledge/paper/foar_force_aware_reactive_policy.html,https://arxiv.org/abs/2411.15753,
Professor Survey,forcevla_force_aware_moe_contact_rich,ForceVLA: Enhancing VLA Models with a Force-aware MoE for Contact-rich Manipulation,2025,introduces dataset,open / public,none apparent,"none apparent: Language appears in the method/title/tags, but the dataset evidence does not show explicit language annotations.",vision; force; proprioception; language,temporal / event labels; demonstrations / trajectories; simulation labels,grasping / lifting; contact-rich manipulation; policy learning / VLA; simulation / sim2real; failure detection / recovery,object state; state transition; event,real robot; simulation; offline perception,"ForceVLA-Data , a new self-collected dataset of synchronized vision + proprioception + 6-axis force/torque over 5 contact-rich tasks (bottle pumping, plug insertion, USB insertion, whiteboard wiping, cucumber peeling); 244 trajectories &asymp; 140k synchronized timesteps, ~50 expert demos per task; images resized to 480x640 and normalized, actions as target TCP pose + gripper width. To be open-sourced.",To be open-sourced.,"language modality/method signal, but no explicit dataset language annotation evidence",../source_materials/professor_survey_raw/knowledge/paper/forcevla_force_aware_moe_contact_rich.html,https://arxiv.org/abs/2505.22159,
Supplement,ftp-1-dataset,FTP-1 Dataset,2026,introduces dataset,open / public,none apparent,"none apparent: Language appears in the method/title/tags, but the dataset evidence does not show explicit language annotations.",vision; tactile; force; proprioception; language,demonstrations / trajectories; self-supervised pairs,grasping / lifting; contact-rich manipulation; policy learning / VLA; representation learning,object state,real robot; offline perception,"FTP-1-Dataset is the heterogeneous pretraining corpus behind FTP-1 (A Generalist Foundation Tactile Policy Across Tactile Sensors for Contact-Rich Manipulation). It aggregates roughly 3,000 hours of contact-rich manipulation data from 26 sources spanning human demonstrations, dexterous-hand, and gripper robots, recorded with 21 distinct tactile sensors (image-, array-, and state-based). Each episode pairs tactile observations with RGB images, proprioceptive state, and action trajectories, stored in zarr format. Hosted on ModelScope and mirrored on Hugging Face.",datasets.bot lists this as a public dataset with license MIT and download URL https://www.modelscope.cn/datasets/Eureka1064/FTP-1-Dataset.,"language modality/method signal, but no explicit dataset language annotation evidence",../source_materials/datasets_bot_raw/knowledge/paper/ftp-1-dataset.html,https://arxiv.org/abs/2606.13102,https://ftp1-policy.github.io/
Supplement,furniture-bench,FurnitureBench,2023,introduces dataset,open / public,none apparent,none apparent: No explicit language annotation is stated in the dataset/setup evidence.,vision; proprioception; point cloud / 3D,demonstrations / trajectories; simulation labels,insertion / assembly; simulation / sim2real,object state,real robot; simulation,"FurnitureBench is a reproducible real-world benchmark from CLVR Lab (KAIST) for long-horizon, complex robotic manipulation framed as furniture assembly with a Franka Panda arm. It releases 5100 successful teleoperation demonstrations totaling 219.6 hours across 9 furniture models and three task-initialization randomness levels (low/medium/high). The released demonstration files contain two RGB camera streams (wrist and front, 224x224x3) plus proprioceptive robot state; the physical rig additionally supports rear and RGBD/depth sensing. It also ships FurnitureSim, an Isaac Gym/Factory-based simulator, plus 3D-printable furniture models and a standardized environment setup.",datasets.bot lists this as a public dataset with license MIT and download URL https://drive.google.com/drive/folders/1j59vFmgBsatu1PZK52HWX_9o5BCh_XDt?usp=sharing.,,../source_materials/datasets_bot_raw/knowledge/paper/furniture-bench.html,https://arxiv.org/abs/2305.12821,https://clvrai.github.io/furniture-bench/
Supplement,galaxea-open-world,Galaxea Open-World Dataset,2025,introduces dataset,open / public,task instructions / commands,task instructions / commands: 500+ hours of real-world mobile bimanual manipulation on the Galaxea R1 Lite robot with subtask language annotations.,vision; proprioception; language,demonstrations / trajectories; self-supervised pairs,grasping / lifting; cooking / food state; policy learning / VLA,object state,real robot; offline perception,"The Galaxea Open-World Dataset is a large-scale real-world mobile manipulation collection gathered with a single embodiment, the Galaxea R1 Lite dual-arm mobile manipulator, across home, kitchen, retail, and office environments. It contains roughly 100K demonstration trajectories totaling 500+ hours, paired with fine-grained subtask-level language annotations. Data is released in LeRobot v2.1 format with four RGB camera streams plus proprioceptive state, and underpins the G0 dual-system VLA model.",datasets.bot lists this as a public dataset with license custom and download URL https://huggingface.co/datasets/OpenGalaxea/Galaxea-Open-World-Dataset.,,../source_materials/datasets_bot_raw/knowledge/paper/galaxea-open-world.html,https://arxiv.org/abs/2509.00576,https://opengalaxea.github.io/GalaxeaVLA/
Professor Survey,gelsight_high_resolution_tactile_sensors,GelSight: High-Resolution Robot Tactile Sensors for Estimating Geometry and Force,2017,self-collected eval data,not open,none apparent,none apparent: No explicit language annotation is stated in the dataset/setup evidence.,vision; tactile; force; point cloud / 3D,property labels; simulation labels,simulation / sim2real,event,simulation,"No public benchmark. Force CNN trained on ~28,815 GelSight images of 6 balls (&oslash; 12-87 mm), 5 cylinders (&oslash; 10-70 mm), 2 flat rigid surfaces; tested on 6705 images of 3 novel objects (ball &oslash;25, cylinder &oslash;22, flat plane).",No public benchmark.,,../source_materials/professor_survey_raw/knowledge/paper/gelsight_high_resolution_tactile_sensors.html,https://www.mdpi.com/1424-8220/17/12/2762,
Professor Survey,dynamic_concept_learner_physical_concepts_visual_reasoning,Grounding Physical Concepts of Objects and Events Through Dynamic Visual Reasoning,2021,introduces benchmark,not open,none apparent,none apparent: No explicit language annotation is stated in the dataset/setup evidence.,vision,class labels; property labels; temporal / event labels; self-supervised pairs; simulation labels,material recognition; simulation / sim2real; representation learning,static property; object state; state transition; event,simulation; offline perception,CLEVRER (synthetic collision-event video reasoning; descriptive / explanatory / predictive / counterfactual questions). Two new benchmarks derived from CLEVRER: CLEVRER-Grounding (spatio-temporal object/event localization) and CLEVRER-Retrieval (expression&harr;video retrieval). Also a real block-tower video dataset (Lerer et al. 2016; 493 videos) with manually synthesized QA pairs to learn the new dynamic concept falling .,,,../source_materials/professor_survey_raw/knowledge/paper/dynamic_concept_learner_physical_concepts_visual_reasoning.html,https://arxiv.org/abs/2103.16564,
Professor Survey,grounding_predicates_through_actions,Grounding Predicates through Actions,2022,uses existing datasets,not open,predicates / constraints,"predicates / constraints: Trains a visual predicate classifier from weak supervision - just an action label per video - by using PDDL pre- and post-conditions to derive partial symbolic state labels for the first and last frame of each clip, then optimizing a DNF cross-entropy loss",vision; language,class labels,grasping / lifting; policy learning / VLA,object state; correction signal,real robot,"20BN Something Something v2 [9]: 220,847 short human manipulation videos of 174 action classes. Authors define pre/post-conditions for 172 actions and 35 predicates (151 total propositions); bounding boxes come from Something-Else [34]. Used subset: 132,853 videos.",Used to compare partial-label vs full-label training because ground-truth state is available.,,../source_materials/professor_survey_raw/knowledge/paper/grounding_predicates_through_actions.html,https://arxiv.org/abs/2109.14718,
Professor Survey,hearing_touch_audio_visual_pretraining,Hearing Touch: Audio-Visual Pretraining for Contact-Rich Manipulation,2024,self-collected eval data,partial or indirect,none apparent,none apparent: No explicit language annotation is stated in the dataset/setup evidence.,vision; tactile; audio,demonstrations / trajectories; self-supervised pairs; simulation labels,grasping / lifting; contact-rich manipulation; policy learning / VLA; simulation / sim2real; representation learning,none apparent,real robot; simulation; web / video; offline perception,"Pretraining - AudioSet (~2M clips, for AVID audio encoder) and Ego4D (for R3M vision encoder). Downstream - three self-collected real-world tasks: flipping (40 demos), scooping (60 demos), zipping (50 demos), each teleoperated via an Oculus Quest. Train/test splits use deliberately large visual differences (different objects, backgrounds, pans).",,,../source_materials/professor_survey_raw/knowledge/paper/hearing_touch_audio_visual_pretraining.html,https://arxiv.org/abs/2405.08576,
Supplement,bitrobot-hiw-500,HIW-500: Humanoids In-the-Wild,2026,introduces dataset,open / public,task instructions / commands,"task instructions / commands: Each episode records synchronized head (stereo RGB) and wrist (RGB + stereo IR) cameras, 29-DoF joint states, end-effector state, IMU, odometry, and language annotations.",vision; proprioception; language; point cloud / 3D,class labels; demonstrations / trajectories,cooking / food state,object state,real robot; human collection; web / video; offline perception,"HIW-500 (Humanoids In-the-Wild) is a large-scale dataset for whole-body humanoid robot learning in natural home environments, capturing human teleoperation demonstrations on the Unitree G1 across 12 real homes in Southeast Asia. It contains 500+ hours and 23K+ episodes spanning 10+ household tasks with 161 subtask labels (~10 TB). Each episode records synchronized head (stereo RGB) and wrist (RGB + stereo IR) cameras, 29-DoF joint states, end-effector state, IMU, odometry, and language annotations.",datasets.bot lists this as a public dataset with license unknown and download URL https://huggingface.co/datasets/BitRobot/HIW-500.,,../source_materials/datasets_bot_raw/knowledge/paper/bitrobot-hiw-500.html,https://bitrobot-foundation.github.io/humanoids-in-the-wild-500-hours/,https://bitrobot-foundation.github.io/humanoids-in-the-wild-500-hours/
Supplement,hoi_force_grounded_cross_view_articulated_manipulation,"Hoi! - A Multimodal Dataset for Force-Grounded, Cross-View Articulated Manipulation",2025,introduces dataset,unknown,none apparent,none apparent: No explicit language annotation is stated in the dataset/setup evidence.,vision; tactile; force,none apparent,grasping / lifting,none apparent,real robot; offline perception,"Introduces Hoi!, a dataset with 3,048 sequences across 381 articulated objects and 38 environments. Objects are operated in four embodiments: human hand, wrist-camera hand, handheld UMI gripper, and a custom Hoi! gripper with end-effector force and tactile sensing.",,dataset-relevant row has no data-supervision tag; introduced data artifact has unknown release status,../source_materials/dongyu_survey_raw/knowledge/paper/hoi_force_grounded_cross_view_articulated_manipulation.html,https://arxiv.org/abs/2512.04884,
Supplement,humanoid-everyday,Humanoid Everyday,2025,introduces dataset,open / public,task instructions / commands,"task instructions / commands: Each trajectory aggregates egocentric and third-person RGB, depth, LiDAR point clouds, tactile, IMU, and proprioception at 30 Hz, with natural-language annotations, in LeRobot v2.0 format.",vision; tactile; proprioception; language; point cloud / 3D,demonstrations / trajectories,none apparent,object state,real robot; offline perception,"Humanoid Everyday is a large-scale, diverse humanoid manipulation dataset from USC's Physical Superintelligence Lab, collected via human-supervised teleoperation on real Unitree G1 and H1 humanoids. It comprises 10,300 trajectories and over 3 million frames across 260 tasks in 7 categories, spanning dexterous manipulation, human-humanoid interaction, and locomotion-integrated activities. Each trajectory aggregates egocentric and third-person RGB, depth, LiDAR point clouds, tactile, IMU, and proprioception at 30 Hz, with natural-language annotations, in LeRobot v2.0 format.",datasets.bot lists this as a public dataset with license Apache-2.0 and download URL https://huggingface.co/datasets/USC-PSI-Lab/humanoid-everyday.,dataset-relevant row has no task-family tag,../source_materials/datasets_bot_raw/knowledge/paper/humanoid-everyday.html,https://arxiv.org/abs/2510.08807,https://humanoid-everyday.github.io/
Supplement,humanplus,HumanPlus,2024,introduces dataset,open / public,none apparent,none apparent: No explicit language annotation is stated in the dataset/setup evidence.,vision; proprioception,demonstrations / trajectories; simulation labels,policy learning / VLA; simulation / sim2real,object state,simulation; offline perception,"HumanPlus is a Stanford full-stack system that lets a customized 33-DoF Unitree H1 humanoid shadow human body and hand motion in real time from RGB cameras, and then learn autonomous whole-body skills via behavior cloning on teleoperated demonstrations. The low-level shadowing policy is trained in simulation using the 40-hour AMASS human-motion dataset; the released task data consists of HDF5 imitation-learning episodes (ACT/Mobile-ALOHA style) recording two head-mounted egocentric RGB cameras plus 19-DoF body and dexterous-hand joint positions. Demonstrated skills include folding clothes, rearranging objects, warehouse unloading, two-robot greeting, wearing a shoe, and typing.",datasets.bot lists this as a public dataset with license unknown and download URL https://drive.google.com/drive/folders/1i3eGTd9Nl_tSieoE0grxuKqUAumBr2EV.,,../source_materials/datasets_bot_raw/knowledge/paper/humanplus.html,https://arxiv.org/abs/2406.10454,https://humanoid-ai.github.io/
Professor Survey,hybrid_position_force_control_manipulators,Hybrid Position/Force Control of Manipulators,1981,sensor / foundation paper,not applicable,none apparent,none apparent: No explicit language annotation is stated in the dataset/setup evidence.,force; proprioception,demonstrations / trajectories,insertion / assembly; contact-rich manipulation; policy learning / VLA,none apparent,offline perception,"not reported - a 1981 control paper; evaluation is by step/ramp trajectory-tracking experiments, not a dataset. Tasks: force step/ramp tracking, position-disturbance rejection, simultaneous force-step + sinusoidal-position, and a peg-in-hole insertion (15.9 mm dia, 0.025 mm / 1 mil clearance, no chamfer).",,,../source_materials/professor_survey_raw/knowledge/paper/hybrid_position_force_control_manipulators.html,https://doi.org/10.1115/1.3139652,
Professor Survey,imagebind_one_embedding_space,ImageBind: One Embedding Space To Bind Them All,2023,sensor / foundation paper,not applicable,captions / descriptions,"captions / descriptions: Problem & motivation CLIP-style models give one shared (image, text) space, but extending that to a true joint embedding over many sensory modalities normally requires datasets where all modalities co-occur for the same instance - which is infeasible to collect.",vision; audio; proprioception; thermal; language; point cloud / 3D,class labels; self-supervised pairs,representation learning,none apparent,offline perception,"Training pairs - web (image, text) [OpenCLIP]; (video, audio) from Audioset; (image, depth) from SUN RGB-D; (image, thermal) from LLVIP; (video, IMU) from Ego4D. Evaluation (Table 1): Audioset Audio-only, ESC, Clotho, AudioCaps, VGGSound (audio cls/retrieval); SUN-D, NYU-v2 (depth scene cls); LLVIP (thermal person cls); Ego4D (IMU scenario cls); plus standard ImageNet/Places-365/K400/MSR-VTT.",,,../source_materials/professor_survey_raw/knowledge/paper/imagebind_one_embedding_space.html,https://arxiv.org/abs/2305.05665,
Supplement,cmu-airlab-uav-energy-dataset,In-flight Positional and Energy-Use Dataset of Package-Delivery Quadcopter UAVs,2021,introduces dataset,open / public,none apparent,none apparent: No explicit language annotation is stated in the dataset/setup evidence.,proprioception,none apparent,none apparent,object state,offline perception,"An empirical UAV energy-use dataset collected by CMU AirLab to measure how small electric delivery drones consume power under varied operating conditions. A DJI Matrice 100 (M100) quadcopter was autonomously flown on a triangular take-off/cruise/land pattern while sweeping payload (0 g, 250 g, 500 g), cruise altitude (25, 50, 75, 100 m), and cruise speed (4, 6, 8, 10, 12 m/s). The dataset contains 209 flights (195 parameter-varied plus 14 ancillary power/hover recordings), totaling 10 hours 45 minutes of flight over roughly 65 km, gathered between April and October 2019. The aircraft carried GPS (LORD MicroStrain 3DM-GX5-45 GNSS/INS), an IMU, a Mauch PL-200 voltage/current sensor, and an FT Technologies FT-205 ultrasonic anemometer, capturing inertial state, wind speed/direction, and power consumption. Data are provided as CSV files with fields including flight ID, programmed speed, payload mass, altitude, timestamp, wind speed/direction, battery voltage/current, position (lat/lon/alt), orientation (quaternion), velocity, angular rates, and linear acceleration. The data are intended to help improve UAV design, safety, and energy efficiency. Hosted on CMU's KiltHub (figshare) repository under CC BY 4.0; processing code is available on Bitbucket (castacks/DOE) under a BSD license. Funded by the U.S. DOE Vehicle Technologies Office (Award DE-EE0008463).",datasets.bot lists this as a public dataset with license CC-BY-4.0 and download URL https://doi.org/10.1184/R1/12683453.,dataset-relevant row has no task-family tag; dataset-relevant row has no data-supervision tag,../source_materials/datasets_bot_raw/knowledge/paper/cmu-airlab-uav-energy-dataset.html,https://www.nature.com/articles/s41597-021-00930-x,https://theairlab.org/energy-dataset/
Professor Survey,inner_monologue_embodied_reasoning_through_planning_with_language_models,Inner Monologue: Embodied Reasoning through Planning with Language Models,2022,uses existing datasets,not open,none apparent,"none apparent: Language appears in the method/title/tags, but the dataset evidence does not show explicit language annotations.",vision; language,demonstrations / trajectories; simulation labels,grasping / lifting; cooking / food state; policy learning / VLA; simulation / sim2real,object state; correction signal,simulation,"Ravens-based simulated tabletop (4 seen + 4 unseen tasks, 50 episodes each, with injected Gaussian disturbances at test time); a real UR5e tabletop pick-place setup (3-block stacking, sort fruits-vs-condiments, 10 runs each with injected 4&thinsp;mm Gaussian action noise clipped at 2&sigma;); real-kitchen mobile manipulation on Everyday Robots, reusing the SayCan task suite (manipulation, drawers, mobile manipulation; 120 evaluations with and without adversarial disturbances).",,"language modality/method signal, but no explicit dataset language annotation evidence",../source_materials/professor_survey_raw/knowledge/paper/inner_monologue_embodied_reasoning_through_planning_with_language_models.html,https://arxiv.org/abs/2207.05608,https://innermonologue.github.io
Professor Survey,interactive_perception_action_in_perception,Interactive Perception: Leveraging Action in Perception and Perception in Action,2017,survey / review,not applicable,none apparent,none apparent: Survey/review paper; no paper-specific dataset language annotations are reported.,vision; tactile; audio; force; proprioception,none apparent,none apparent,object state,none apparent,"not reported - this is a survey; it explicitly calls for benchmarks to be established (it contrasts IP with the static-image benchmarks PASCAL VOC, ImageNet, MS COCO that drove passive vision).",,,../source_materials/professor_survey_raw/knowledge/paper/interactive_perception_action_in_perception.html,https://arxiv.org/abs/1604.03670,
Professor Survey,kaiwu_multimodal_manipulation_dataset,Kaiwu: A Multimodal Manipulation Dataset and Framework for Robot Learning and Human-Robot Interaction,2025,introduces dataset,unknown,none apparent,none apparent: No explicit language annotation is stated in the dataset/setup evidence.,vision; tactile; audio; force; proprioception; point cloud / 3D,demonstrations / trajectories,insertion / assembly; contact-rich manipulation,object state,offline perception,"The Kaiwu dataset itself - 20 subjects x 15 assembly tasks (C1-C15: e.g. Drill a Hole, Clamp a Patch, File Rough Edge, Tighten a Steel Column, Install a Bearing, Fasten a Screw/Nut, Install a Motor) x left/right = 6x15x20 sets, 11,664 total integrated action instances. ~6.3 hours of assembling; each subject ~19 min of data, 2 h recorded. Compared against TSU, Harmonic, HBOD, Humbi, OXE, ActionSense in Table I (Kaiwu is the only one combining IMU + Motion Capture + Hand Pose + Arm + Gaze + EMG + Tactile + RGB + Depth + Audio for industrial assembly).","Data is released on ScienceDB (keyword ""Kaiwu""), packaged as Kaiwu Data Annotation (31.",introduced data artifact has unknown release status,../source_materials/professor_survey_raw/knowledge/paper/kaiwu_multimodal_manipulation_dataset.html,https://arxiv.org/abs/2503.05231,
Professor Survey,kinedex_tactile_kinesthetic_teaching,KineDex: Learning Tactile-Informed Visuomotor Policies via Kinesthetic Teaching for Dexterous Manipulation,2025,self-collected eval data,not open,none apparent,"none apparent: Language appears in the method/title/tags, but the dataset evidence does not show explicit language annotations.",vision; tactile; force; proprioception; language,demonstrations / trajectories,pouring / liquids; insertion / assembly; contact-rich manipulation; policy learning / VLA; simulation / sim2real,object state,real robot,"Self-collected kinesthetic demonstrations on a suite of nine contact-rich dexterous tasks : Bottle Picking, Cup Picking, Egg Picking, Cap Twisting, Nut Tightening, Peg Insertion, Charger Plugging, Toothpaste Squeezing, Syringe Pressing. No public benchmark; task descriptions in Appendix A. Number of demos per task: not reported in main text.",No public benchmark; task descriptions in Appendix A.,"language modality/method signal, but no explicit dataset language annotation evidence",../source_materials/professor_survey_raw/knowledge/paper/kinedex_tactile_kinesthetic_teaching.html,https://arxiv.org/abs/2505.01974,https://dinomini00.github.io/KineDex/
Supplement,language-table,Language-Table,2022,introduces dataset,open / public,task instructions / commands,"task instructions / commands: Google's large language-conditioned tabletop block-manipulation dataset: ~442K real + ~181K sim xArm6 trajectories, plus a sim benchmark.",vision; proprioception; language,class labels; demonstrations / trajectories; simulation labels,policy learning / VLA; simulation / sim2real,object state,human collection; simulation; offline perception,"Language-Table is a suite of human-collected datasets and a multi-task continuous control benchmark for open-vocabulary visuolinguomotor learning, released with the paper 'Interactive Language: Talking to Robots in Real Time'. It contains nearly 600,000 natural-language-labeled trajectories of a UFACTORY xArm6 robot moving colored blocks on a tabletop (442,226 real-robot episodes plus simulated human-controlled and oracle episodes). Observations are third-person RGB images (captured at 640x360, resized to 320x180) plus end-effector/block state, and the arm is constrained to a 2D plane and acts via a 2D Cartesian end-effector delta setpoint.",datasets.bot lists this as a public dataset with license Apache-2.0 and download URL https://github.com/google-research/language-table.,,../source_materials/datasets_bot_raw/knowledge/paper/language-table.html,https://arxiv.org/abs/2210.06407,https://interactive-language.github.io/
Professor Survey,languagebind_language_anchored,LanguageBind: Extending Video-Language Pretraining to N-modality by Language-based Semantic Alignment,2024,uses existing datasets,not open,captions / descriptions,"captions / descriptions: Evaluate on 15 benchmarks: video-text retrieval (MSR-VTT, MSVD, DiDeMo, ActivityNet)",vision; audio; language; point cloud / 3D,class labels; self-supervised pairs,representation learning,object state,offline perception,"Pretrain on VIDAL-10M (and 3M/10M subsets). Evaluate on 15 benchmarks: video-text retrieval (MSR-VTT, MSVD, DiDeMo, ActivityNet); video classification (Kinetics-400/600); infrared (LLVIP, FLIR V1/V2); depth (NYU-D); audio (Audioset, ESC-50, VGGSound, Clotho, Audiocaps); plus emergent retrieval on AVE / VGGS.",,,../source_materials/professor_survey_raw/knowledge/paper/languagebind_language_anchored.html,https://arxiv.org/abs/2310.01852,
Professor Survey,learning_compositional_behaviors_from_demonstration_and_language,Learning Compositional Behaviors from Demonstration and Language (BLADE),2024,uses existing datasets,partial or indirect,predicates / constraints,"predicates / constraints: BLADE automatically recovers PDDL-style behavior abstractions (preconditions, effects, a contact-primitive body ) from language-annotated demos by querying an LLM, learns visual classifiers for the predicates and diffusion-policy controllers for the bodies, then composes them via bi-level planning at test time - gen...",vision; thermal; language; point cloud / 3D,class labels; demonstrations / trajectories; simulation labels,grasping / lifting; pouring / liquids; cooking / food state; policy learning / VLA; simulation / sim2real,object state; event; correction signal,real robot; simulation,"CALVIN benchmark (split D, ~6 hours of teleop play data, 34 behavior types) with 6 newly-designed generalization tasks across three categories - Abstract Goal, Geometric Constraint, Partial Observability - each requiring 3-7 chained behaviors. 20 initial states x 3 seeds per task.",,,../source_materials/professor_survey_raw/knowledge/paper/learning_compositional_behaviors_from_demonstration_and_language.html,https://arxiv.org/abs/2505.21981,https://blade-bot.github.io/
Supplement,lerobot-folding,LeRobot Shirt-Folding Dataset,2026,introduces dataset,open / public,none apparent,none apparent: No explicit language annotation is stated in the dataset/setup evidence.,vision; proprioception,demonstrations / trajectories,grasping / lifting,object state,real robot; offline perception,"The shirt-folding dataset from LeRobot's open-source 'Unfolding Robotics: Open-Source Shirt Folding from Data to Deployment' project, which trained a bimanual robot to fold t-shirts at a 90% success rate. Collected via real-world leader-follower teleoperation across 8 bimanual setups optimizing for diversity (25+ t-shirts, 8 backgrounds, varied camera/robot heights), structured as Level 1 (fold a laid-out shirt) and Level 2 (spread a crumpled shirt, fold, set aside). The full dataset has 5,688 episodes (~131h); a curated high-quality subset (lerobot/high_quality_folding) has 1,200 episodes (~30h). Each episode has 3 camera streams (base 480x640, two wrists 720x1280) and 16-dim joint+gripper states/actions, stored in LeRobotDataset v3.0 (video-encoded).",datasets.bot lists this as a public dataset with license Apache-2.0 and download URL https://huggingface.co/datasets/lerobot/full_folding.,,../source_materials/datasets_bot_raw/knowledge/paper/lerobot-folding.html,https://huggingface.co/spaces/lerobot/robot-folding,https://huggingface.co/spaces/lerobot/robot-folding
Supplement,libero_lifelong_robot_learning_benchmark,LIBERO: Benchmarking Knowledge Transfer for Lifelong Robot Learning,2023,introduces benchmark,open / public,task instructions / commands,"task instructions / commands: A language-conditioned lifelong robot learning benchmark with four task suites, 130 tasks, and human teleoperated demonstrations.",language,demonstrations / trajectories; simulation labels,simulation / sim2real,object state,simulation,"Introduces LIBERO: four benchmark task suites with 130 tasks total, high-quality human-teleoperated demonstration data for all tasks, and public code/datasets.","Introduces LIBERO: four benchmark task suites with 130 tasks total, high-quality human-teleoperated demonstration data for all tasks, and public code/datasets.",,../source_materials/dongyu_survey_raw/knowledge/paper/libero_lifelong_robot_learning_benchmark.html,https://arxiv.org/abs/2306.03310,https://libero-project.github.io/
Professor Survey,look_for_the_change_object_states_state_modifying_actions,Look for the Change: Learning Object States and State-Modifying Actions from Untrimmed Web Videos,2022,introduces dataset,not open,none apparent,none apparent: No explicit language annotation is stated in the dataset/setup evidence.,vision; thermal,class labels; temporal / event labels; self-supervised pairs; simulation labels,cooking / food state; simulation / sim2real; representation learning,object state; state transition,human collection; simulation; web / video; offline perception,"New ChangeIt dataset - 44 state-changing actions, 34,428 untrimmed in-the-wild YouTube videos, 2,642 total hours, 4.6 min average duration; 667 videos (48 hrs, ~15 per class) manually annotated with background / initial state / action / end state labels for evaluation. Also evaluated on the smaller curated dataset of Alayrac et al. [2] (7 trimmed object-action classes).","To downweight them, the authors download up to five still images per object state via Google Image Search and compute a per-video relevance score r v as the max similarity between exemplar-image features and video-frame features (in a pretrained visual embedding), constrained by the same causal ordering .",,../source_materials/professor_survey_raw/knowledge/paper/look_for_the_change_object_states_state_modifying_actions.html,https://arxiv.org/abs/2203.11637,
Professor Survey,making_sense_audio_vibration_pouring,Making Sense of Audio Vibration for Liquid Height Estimation in Robotic Pouring,2019,introduces dataset,open / public,none apparent,"none apparent: Language appears in the method/title/tags, but the dataset evidence does not show explicit language annotations.",vision; audio; force; language,class labels; property labels; demonstrations / trajectories; simulation labels,pouring / liquids; policy learning / VLA; simulation / sim2real,static property; object state; correction signal,real robot; simulation; offline perception,"A self-collected multimodal pouring dataset - the paper claims the first multimodal dataset for the pouring perception task - with >3000 human pouring recordings (1000 trials x 3 target containers, 2 subjects), each containing audio, force/torque, video, motion-tracking trajectories, and scale-derived height labels. Training used water only; recordings ran 4-11 s. Height ground truth comes from a digital scale plus a per-container quadratic weight&rarr;height polynomial. A separate 30-trial-per-container spout dataset is collected for robot fine-tuning. Code/data/video released at the project page.",Code/data/video released at the project page.,"language modality/method signal, but no explicit dataset language annotation evidence",../source_materials/professor_survey_raw/knowledge/paper/making_sense_audio_vibration_pouring.html,https://arxiv.org/abs/1903.00650,
